// İ, ı, Ö, ö, Ü, ü, Ç, ç, Ğ, ğ, Ş, ş
// &#304; &#305; &#214; &#246; &#220; &#252; &#199; &#231; &#286; &#287; &#350; &#351;

"Turkish";"Türkçe"
"Password was changed successfully";"Şifre başarıyla degiştirildi"
"Here you can adjust various settings of all users in the system";"Buradan sistemdeki tüm kullanıcıların ayarlarını degiştirebilirsiniz"

"Actions";"İşlemler"
"Source";"Kaynak"
"Last Login";"Son Giriş Tarihi"
"Never";"Hiç"
"An error occurred during formatting the given date";"Tarih istenilen formata dönüştürülürken hata oluştu" 
"Refresh this page";"Bu sayfayı yenile"
"Options";"Seçenekler"
"Add New User";"Yeni Kullanıcı Ekle"
"Cancel";"Vazgeç"
"Add";"Ekle"
"First Name";"İsim"
"Last Name";"Soyad"
"Company Name";"Şirket İsmi"
"Mailing Address";"Posta Adresi"
"Phone";"Telefon"
"City";"Şehir"
"State";"Eyalet"
"Zip";"Zıp Kodu"
"General Information";"Genel Bilgiler"
"Additional Information";"Ek Bilgiler"
"Search results for &s";"Arama sonuçları %s için"

"Full Name";"Adı ve Soyadı"
"Level";"Türü"
"Active";"Aktif"
"results";"sonuç göster"

"loading...";"yükleniyor..."
"Open Sidebar";"Yan Paneli Aç"
"Home";"Anasayfa"

"Date of Action";"Kayıt Tarihi"
"User ID";"Kullanıcı Numarası"
"Referrer";"Refer Eden"
"Message";"Mesaj"
"Url";"Adres"
"User Agent";"Tarayıcı"
"Info";"Bilgiler"
"Logged in Successfully";"Oturum Başarıyla açıldı"
"Email is invalid or couldn't be found";"E-Posta yanlış veya geçerli değil"

"%s was successfully added";"%s başarıyla kaydedildi"
"%s was successfully deleted";"%s başarıyla silindi"
"Delete this user";"Kullanıcıyı sil"

"Edit this user";"Kullanıcıyı denetle"
"User is being deleted";"Kullanıcı sİlİnİyor"

"A New User is being added";"Yenİ bİr kullanıcı eklenİyor"

"User is being edited";"Kullanıcı denetlenİyor"
"Only fill in if you would like to change the password of the user";"Burayı sadece kullanıcının şifresini değiştirmek için doldurunuz"
"If you change the email of the user, and he is currently logged in, he will be logged out";"Eğer kullanıcının email adresini değiştirirseniz, kullanıcı yeniden sisteme giriş yapmak zorunda kalacaktır"
"Invalid e-mail address given";"Geçerli bir email adresi girilmedi"
"Email already registered";"Bu email başka bir kullanıcı tarafından kullanılıyor"
"Viewing Log Details";"Kayıt ayrıntıları görüntülenİyor"
"View";"Görüntüle"
"Here you can view general logged activities";"Buradan sistemin yarattığı çeşitli kayıtları görüntüleyebilirsiniz"
"No-Reply Email Address";"No-Reply Posta Adresi"
"Instructions sent to reset the password";"Şifreyi değiştirmek için gereken bilgiler E-Posta adresinize gönderildi"
"vkNgine Recover Password";"vkNgine Şifre Kurtarıcısı"
"Given token was not valid";"Verilen doğrulama numarası yanlış"
"Recover My Password";"Şİfremİ DeĞİŞtİr"
"Given token/email or password was not valid";"Verilen doğrulama numarası/email veya da şifre yanlış"
"Password was changed successfully";"Şifre başarıyla değiştirildi"

"today";"Bugün"
"Monday";"Pazartesi"
"Tuesday";"Salı"
"Wednesday";"Çarşamba"
"Thursday";"Perşembe"
"Friday";"Cuma"
"Saturday";"Cumartesi"
"Sunday";"Pazar"
"January";"Ocak"
"February";"Şubat"
"March";"Mart"
"April";"Nisan"
"May";"Mayıs"
"June";"Haziran"
"July";"Temmuz"
"August";"Ağustos"
"September";"Eylül"
"October";"Ekim"
"November";"Kasım"
"December";"Aralık"

"View Application";"Uygulamayı Aç"
"View the Application";"Uygulamayı Aç"

"Change your Account Settings";"Kullanıcı ayarlarını değiştir"
"Account Settings are being changed";"Kullanıcı ayarları değİştİrİlİyor"
"Are you sure you want to delete this user?";"Bu kullanıcıyı silmek istediğinizden eminmisiniz?"

"Please fill out all required fields";"Lütfen zorunlu olan tüm alanları doldurunuz"

"Total user count";"Toplam kullanıcı sayısı"

"Here you can adjust various aspects of this application"; "Burada programın bütün ayarlarını değiştirebilirsiniz"

"No token received, please re-submit the form";"Form güvenli bir şekilde gönderilmedi, lütfen yeniden deneyin"
"Tokens do not match, please re-submit the form";"Form güvenli bir şekilde gönderilmedi, lütfen yeniden deneyin"

"Software written by Volkan Yavuz";"Bu yazılım Volkan Yavuz tarafından geliştirilmiştir"

"Notes";"Notlar"
"Powered by %s";"%s tabanlıdır"
